trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.9991596177334445}",25,0,-52.33055675958886,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
43,False,"{'a': 0.5, 'e': 0.9991181296463766}",20,0,-182.30921415674035,"{0: 10, 1: 1, 2: 5, 3: 1, 4: 3}",0
44,False,"{'a': 0.5, 'e': 0.9990756424412622}",25,0,-127.65670997441987,"{0: 14, 1: 1, 2: 8, 3: 1, 4: 1}",0
45,False,"{'a': 0.5, 'e': 0.9990321561605888}",20,0,-88.22174057399494,"{0: 11, 1: 1, 2: 6, 3: 2, 4: 0}",0
46,False,"{'a': 0.5, 'e': 0.9989876708478425}",25,0,-87.29052816660933,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
47,False,"{'a': 0.5, 'e': 0.9989421865475084}",25,0,-121.2965488217633,"{0: 18, 1: 1, 2: 2, 3: 2, 4: 2}",0
48,False,"{'a': 0.5, 'e': 0.9988957033050712}",20,0,-93.69643945801103,"{0: 11, 1: 5, 2: 2, 3: 1, 4: 1}",0
49,False,"{'a': 0.5, 'e': 0.9988482211670138}",20,0,-155.03498728433607,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
50,False,"{'a': 0.5, 'e': 0.9987997401808185}",25,0,-116.04949353718312,"{0: 16, 1: 2, 2: 3, 3: 3, 4: 1}",0
51,False,"{'a': 0.5, 'e': 0.9987502603949663}",20,0,-20.01755371809214,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
52,False,"{'a': 0.5, 'e': 0.9986997818589368}",25,0,-168.09841725792688,"{0: 13, 1: 1, 2: 8, 3: 1, 4: 2}",0
53,False,"{'a': 0.5, 'e': 0.9986483046232089}",20,0,-84.23122604412174,"{0: 11, 1: 0, 2: 8, 3: 1, 4: 0}",0
54,False,"{'a': 0.5, 'e': 0.9985958287392593}",30,0,-165.11308334091962,"{0: 16, 1: 2, 2: 9, 3: 2, 4: 1}",0
55,False,"{'a': 0.5, 'e': 0.9985423542595644}",25,0,-168.62681520127208,"{0: 13, 1: 1, 2: 8, 3: 1, 4: 2}",0
56,False,"{'a': 0.5, 'e': 0.9984878812375985}",25,0,-210.83963351385455,"{0: 11, 1: 1, 2: 8, 3: 3, 4: 2}",0
57,False,"{'a': 0.5, 'e': 0.9984324097278344}",35,0,-155.48436480279435,"{0: 22, 1: 3, 2: 6, 3: 3, 4: 1}",0
58,False,"{'a': 0.5, 'e': 0.9983759397857438}",20,0,-91.03466109533584,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
59,False,"{'a': 0.5, 'e': 0.9983184714677966}",35,0,-94.74543792509134,"{0: 25, 1: 2, 2: 7, 3: 0, 4: 1}",0
60,False,"{'a': 0.5, 'e': 0.9982600048314613}",20,0,-55.22964538319745,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
61,False,"{'a': 0.5, 'e': 0.9982005399352042}",20,3,-58.597900885949166,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 1}",1
62,False,"{'a': 0.5, 'e': 0.9981400768384904}",20,0,-104.17839504132553,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
63,False,"{'a': 0.5, 'e': 0.9980786156017829}",20,0,-54.8798908624175,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
64,False,"{'a': 0.5, 'e': 0.9980161562865429}",20,13,-7.228473213383692,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.99795269895523}",25,0,-125.57523835092357,"{0: 16, 1: 0, 2: 5, 3: 3, 4: 1}",0
66,False,"{'a': 0.5, 'e': 0.9978882436713011}",25,11,-12.242935079214575,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
67,False,"{'a': 0.5, 'e': 0.9978227904992117}",20,0,-38.07536385526883,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
68,False,"{'a': 0.5, 'e': 0.9977563395044151}",25,0,-72.51426276092147,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
69,False,"{'a': 0.5, 'e': 0.9976888907533621}",25,0,-102.62797203528807,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
